Series ID,Year,Period,Label,Value
LAUCT536300000000004,2019,M01,2019 Jan,15091
LAUCT536300000000004,2019,M02,2019 Feb,12648
LAUCT536300000000004,2019,M03,2019 Mar,12949
LAUCT536300000000004,2019,M04,2019 Apr,9347
LAUCT536300000000004,2019,M05,2019 May,11019
LAUCT536300000000004,2019,M06,2019 Jun,10359
LAUCT536300000000004,2019,M07,2019 Jul,12127
LAUCT536300000000004,2019,M08,2019 Aug,10833
LAUCT536300000000004,2019,M09,2019 Sep,10860
LAUCT536300000000004,2019,M10,2019 Oct,9707
LAUCT536300000000004,2019,M11,2019 Nov,8979
LAUCT536300000000004,2019,M12,2019 Dec,9873
LAUCT536300000000004,2020,M01,2020 Jan,11097
LAUCT536300000000004,2020,M02,2020 Feb,10785
LAUCT536300000000004,2020,M03,2020 Mar,23973
LAUCT536300000000004,2020,M04,2020 Apr,62854
LAUCT536300000000004,2020,M05,2020 May,52082
LAUCT536300000000004,2020,M06,2020 Jun,47008
LAUCT536300000000004,2020,M07,2020 Jul,42334
LAUCT536300000000004,2020,M08,2020 Aug,35278
LAUCT536300000000004,2020,M09,2020 Sep,32645
LAUCT536300000000004,2020,M10,2020 Oct,26716
LAUCT536300000000004,2020,M11,2020 Nov,24924
LAUCT536300000000004,2020,M12,2020 Dec,24673
LAUCT536300000000004,2021,M01,2021 Jan,26635
LAUCT536300000000004,2021,M02,2021 Feb,22846
LAUCT536300000000004,2021,M03,2021 Mar,23546
LAUCT536300000000004,2021,M04,2021 Apr,20763
LAUCT536300000000004,2021,M05,2021 May,18934
LAUCT536300000000004,2021,M06,2021 Jun,21081
LAUCT536300000000004,2021,M07,2021 Jul,21210
LAUCT536300000000004,2021,M08,2021 Aug,20189
